code,number,name,description,type,fuel bed depth,dead fuel moisture of extinction,characteristic sav,bulk density,relative packing ratio
SH7,147,"Very high load, dry climate shrub","Very high load, dry climate shrub, woody shrubs and shrub litter, very heavy shrub load, depth 4-6 feet, spread rate somewhat lower than SH6 and flame very high.",Static,6,0.15,1233,0.11,0.35
SH8,148,"High load, humid climate shrub","High load, humid climate shrub, woody shrubs and shrub litter, dense shrubs, little or no herbaceous fuel, depth about 3 feet, spread rate and flame high.",Static,3,0.4,1386,0.16,0.57
SH9,149,"Very high load, humid climate shrub","Very high load, humid climate shrub, woody shrubs and shrub litter, dense finely branched shrubs with fine dead fuel, 4-6 feet tall, herbaceous may be present, spread rate and flame high.",Dynamic,4.4,0.4,1378,0.16,0.56
TU1,161,"Light load, dry climate timber-grass-shrub","Low load dry climate timber grass shrub, low load of grass and/or shrub with litter, spread rate and flame low.",Dynamic,0.6,0.2,1606,0.28,1.12
TU2,162,"Moderate load, humid climate timber-shrub","Moderate load, humid climate timber-shrub, moderate litter load with some shrub, spread rate moderate and flame low.",Static,1,0.3,1767,0.19,0.82
TU3,163,"Moderate load, humid climate timber-grass-shrub","Moderate load, humid climate timber grass shrub, moderate forest litter with some grass and shrub, spread rate high and flame moderate.",Dynamic,1.3,0.3,1611,0.11,0.45
TU4,164,Dwarf conifer understory,"Dwarf conifer with understory, short conifer trees with grass or moss understory, spread rate and flame moderate.",Static,0.5,0.12,2216,0.6,3.06
TU5,165,"Very high load, dry climate timber-shrub","Very high load, dry climate shrub, heavy forest litter with shrub or small tree understory, spread rate and flame moderate.",Static,1,0.25,1224,0.64,2.03
TL1,181,"Low load, compact conifer litter","Low load compact conifer litter, compact forest litter, light to moderate load, 1-2 inches deep, may represent a recent burn, spread rate and flame low.",Static,0.2,0.3,1716,1.56,6.49
TL2,182,Low broadleaf litter,"Low load broadleaf litter, broadleaf, hardwood litter, spread rate and flame low.",Static,0.2,0.25,1806,1.35,5.87
TL3,183,Moderate load conifer litter,"Moderate load conifer litter, moderate load conifer litter, light load of coarse fuels, spread rate and flame low.",Static,0.3,0.2,1532,0.84,3.19
TL4,184,Small downed logs,"Small downed logs moderate load of fine litter and coarse fuels, small diameter downed logs, spread rate and flame low.",Static,0.4,0.25,1568,0.71,2.75
TL5,185,High load conifer,"High load conifer litter, light slash or dead fuel, spread rate and flame low.",Static,0.6,0.25,1713,0.62,2.56
TL6,186,Moderate load broadleaf litter,"Moderate load broadleaf litter, spread rate and flame moderate.",Static,0.3,0.25,1936,0.73,3.37
TL7,187,large downed logs,"Large downed logs, heavy load forest litter, larger diameter downed logs, spread rate and flame low.",Static,0.4,0.25,1229,1.12,3.56
TL8,188,Long-needle litter,"Long needle litter, moderate load long needle pine litter, may have small amounts of herbaceous fuel, spread rate moderate and flame low.",Static,0.3,0.35,1770,1.27,5.42
TL9,189,Very high load broadleaf litter,"Very high load broadleaf litter, may be heavy needle drape, spread rate and flame moderate.",Static,0.6,0.35,1733,1.08,4.52
SB1,201,Low load activity fuel,"Low load activity fuel, light dead and down activity fuel, fine fuel is 10-20 t/ac, 1-3 inches in diameter, depth < 1 foot, spread rate moderate and flame low.",Static,1,0.25,1653,0.71,2.87
SB2,202,Moderate load activity or low load blowdown,"Moderate load activity fuel or low load blowdown, 7-12 t/ac, 0-3 inch diameter class, depth about 1 foot, blowdown scattered with many still standing, spread rate and flame low.",Static,1,0.25,1884,0.59,2.63
SB3,203,High load activity fuel or moderate low blowdown,"High load activity fuel or moderate load blowdown, heavy dead down activity fuel or moderate blowdown, 7- 12t/ac, 0-.25 inch diameter class, depth > 1 foot, blowdown moderate, spread rate and flame high.",Static,1.2,0.25,1935,0.43,1.97
SB4,204,High load blowdown,"High load blowdown, heavy blowdown fuel, blowdown total, foliage and fine fuel still attached to blowdown, spread rate and flame very high.",Static,2.7,0.25,1907,0.24,1.08
